Wall time,Step,Value
1701832867.0496473,49,0.0
1701832868.4928634,99,0.0
1701832870.1433158,149,0.0
1701832880.3573916,156,0.0
1701832880.3961623,156,0.0
1701832881.6453803,199,1.0
1701832883.257531,249,1.0
1701832884.6237218,299,1.0
1701832894.7051344,313,1.0
1701832894.7644606,313,1.0
1701832895.8360596,349,2.0
1701832897.279706,399,2.0
1701832898.7284427,449,2.0
1701832908.8721554,470,2.0
1701832908.9213972,470,2.0
1701832909.7460184,499,3.0
1701832911.1012695,549,3.0
1701832912.5796828,599,3.0
1701832923.4328723,627,3.0
1701832923.4732146,627,3.0
1701832924.111086,649,4.0
1701832925.5825293,699,4.0
1701832926.9400132,749,4.0
1701832937.7297626,784,4.0
1701832937.7683618,784,4.0
1701832938.1910765,799,5.0
1701832939.6019616,849,5.0
1701832940.973799,899,5.0
1701832952.3821154,941,5.0
1701832952.4236457,941,5.0
1701832952.7149565,949,6.0
1701832954.2082129,999,6.0
1701832955.6378663,1049,6.0
1701832966.6993995,1098,6.0
1701832966.7487288,1098,6.0
1701832966.7987278,1099,7.0
1701832968.2317884,1149,7.0
1701832969.626618,1199,7.0
1701832971.0336063,1249,7.0
1701832980.7444243,1255,7.0
1701832980.7868788,1255,7.0
1701832982.0465655,1299,8.0
1701832983.4965446,1349,8.0
1701832984.893063,1399,8.0
1701832994.469466,1412,8.0
1701832994.4938748,1412,8.0
1701832995.6453047,1449,9.0
1701832997.1374793,1499,9.0
1701832998.5385818,1549,9.0
1701833008.887251,1569,9.0
1701833008.9242988,1569,9.0
1701833015.7598116,1570,10.0
