Wall time,Step,Value
1701833243.0576649,49,0.0
1701833244.4672537,99,0.0
1701833245.9311152,149,0.0
1701833247.278526,199,0.0
1701833248.747355,249,0.0
1701833250.1859963,299,0.0
1701833251.5429132,349,0.0
1701833252.9404807,399,0.0
1701833254.2958467,449,0.0
1701833255.5924387,499,0.0
1701833257.0101702,549,0.0
1701833258.5091603,599,0.0
1701833259.8867445,649,0.0
1701833261.2747283,699,0.0
1701833262.7567918,749,0.0
1701833264.1756206,799,0.0
1701833265.5701396,849,0.0
1701833266.9958537,899,0.0
1701833278.0417042,937,0.0
1701833278.0888562,937,0.0
1701833278.4601455,949,1.0
1701833279.7871237,999,1.0
1701833281.185013,1049,1.0
1701833282.5989199,1099,1.0
1701833283.999083,1149,1.0
1701833285.6267269,1199,1.0
1701833286.9921396,1249,1.0
1701833288.4169354,1299,1.0
1701833289.6940463,1349,1.0
1701833291.1235902,1399,1.0
1701833292.5489728,1449,1.0
1701833293.9283586,1499,1.0
1701833295.393085,1549,1.0
1701833296.7455604,1599,1.0
1701833298.1859586,1649,1.0
1701833299.6052103,1699,1.0
1701833301.0543609,1749,1.0
1701833302.5313423,1799,1.0
1701833303.9533896,1849,1.0
1701833314.679603,1875,1.0
1701833314.7431998,1875,1.0
1701833315.4879317,1899,2.0
1701833316.89841,1949,2.0
1701833318.3306768,1999,2.0
1701833319.7630012,2049,2.0
1701833321.1491368,2099,2.0
1701833322.4946532,2149,2.0
1701833323.796268,2199,2.0
1701833325.135263,2249,2.0
1701833326.5515592,2299,2.0
1701833327.9792836,2349,2.0
1701833329.4381347,2399,2.0
1701833330.897142,2449,2.0
1701833332.3605423,2499,2.0
1701833333.9049442,2549,2.0
1701833335.3600018,2599,2.0
1701833336.7972777,2649,2.0
1701833338.2803586,2699,2.0
1701833339.7696533,2749,2.0
1701833341.2089887,2799,2.0
1701833351.3714178,2813,2.0
1701833351.4403799,2813,2.0
1701833352.5170574,2849,3.0
1701833353.9992583,2899,3.0
1701833355.375424,2949,3.0
1701833356.8242385,2999,3.0
1701833358.2840796,3049,3.0
1701833359.617715,3099,3.0
1701833361.0011256,3149,3.0
1701833362.3490632,3199,3.0
1701833363.6958287,3249,3.0
1701833365.0923417,3299,3.0
1701833366.5031235,3349,3.0
1701833367.8108664,3399,3.0
1701833369.3312316,3449,3.0
1701833370.6969113,3499,3.0
1701833372.0914981,3549,3.0
1701833373.5606253,3599,3.0
1701833375.0234184,3649,3.0
1701833376.5754375,3699,3.0
1701833378.1316378,3749,3.0
1701833388.2454884,3751,3.0
1701833388.3125412,3751,3.0
1701833389.6358943,3799,4.0
1701833391.0418954,3849,4.0
1701833392.4118319,3899,4.0
1701833393.7894483,3949,4.0
1701833395.1891894,3999,4.0
1701833396.55463,4049,4.0
1701833397.930523,4099,4.0
1701833399.3196852,4149,4.0
1701833400.7181559,4199,4.0
1701833402.1619177,4249,4.0
1701833403.518216,4299,4.0
1701833404.8557796,4349,4.0
1701833406.2089016,4399,4.0
1701833407.5555766,4449,4.0
1701833408.959132,4499,4.0
1701833410.3049154,4549,4.0
1701833411.738571,4599,4.0
1701833413.122723,4649,4.0
1701833424.2685654,4689,4.0
1701833424.2884705,4689,4.0
1701833424.6234503,4699,5.0
1701833426.1101534,4749,5.0
1701833427.5113196,4799,5.0
1701833428.8994856,4849,5.0
1701833430.3194852,4899,5.0
1701833431.6478152,4949,5.0
1701833433.0467715,4999,5.0
1701833434.4417098,5049,5.0
1701833435.8563876,5099,5.0
1701833437.2300892,5149,5.0
1701833438.5474272,5199,5.0
1701833439.9929986,5249,5.0
1701833441.3778794,5299,5.0
1701833442.7825024,5349,5.0
1701833444.2409747,5399,5.0
1701833445.6184256,5449,5.0
1701833447.0210435,5499,5.0
1701833448.439733,5549,5.0
1701833449.7540317,5599,5.0
1701833460.310499,5627,5.0
1701833460.370681,5627,5.0
1701833461.0392778,5649,6.0
1701833462.4572988,5699,6.0
1701833463.8995528,5749,6.0
1701833465.2764347,5799,6.0
1701833466.6161697,5849,6.0
1701833468.0146964,5899,6.0
1701833469.5013483,5949,6.0
1701833470.9039614,5999,6.0
1701833472.2353325,6049,6.0
1701833473.584941,6099,6.0
1701833475.0398872,6149,6.0
1701833476.510615,6199,6.0
1701833477.9342105,6249,6.0
1701833479.4729464,6299,6.0
1701833480.8073466,6349,6.0
1701833482.2505412,6399,6.0
1701833483.6175113,6449,6.0
1701833485.031631,6499,6.0
1701833486.4809954,6549,6.0
1701833496.8878217,6565,6.0
1701833496.9055455,6565,6.0
1701833497.8697765,6599,7.0
1701833499.3833065,6649,7.0
1701833500.8717606,6699,7.0
1701833502.261318,6749,7.0
1701833503.7220714,6799,7.0
1701833505.1575394,6849,7.0
1701833506.591226,6899,7.0
1701833508.0416706,6949,7.0
1701833509.6327746,6999,7.0
1701833510.9671857,7049,7.0
1701833512.3742828,7099,7.0
1701833513.8061364,7149,7.0
1701833515.2382102,7199,7.0
1701833516.7721915,7249,7.0
1701833518.1815429,7299,7.0
1701833519.5271063,7349,7.0
1701833520.9476461,7399,7.0
1701833522.2677383,7449,7.0
1701833523.7226634,7499,7.0
1701833533.238556,7503,7.0
1701833533.2568138,7503,7.0
1701833534.490692,7549,8.0
1701833535.9050179,7599,8.0
1701833537.2015748,7649,8.0
1701833538.5510247,7699,8.0
1701833539.9360535,7749,8.0
1701833541.3778164,7799,8.0
1701833542.7497823,7849,8.0
1701833544.1459444,7899,8.0
1701833545.445812,7949,8.0
1701833546.7835383,7999,8.0
1701833548.2514427,8049,8.0
1701833549.7384758,8099,8.0
1701833551.186669,8149,8.0
1701833552.6031322,8199,8.0
1701833554.0713296,8249,8.0
1701833555.54951,8299,8.0
1701833556.9302325,8349,8.0
1701833558.3306317,8399,8.0
1701833569.096187,8441,8.0
1701833569.1489515,8441,8.0
1701833569.409224,8449,9.0
1701833570.7154477,8499,9.0
1701833572.0833828,8549,9.0
1701833573.4210033,8599,9.0
1701833574.7586384,8649,9.0
1701833576.1688015,8699,9.0
